반복 회차 (Iteration),주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
2,70,339.34999999999997,1,2,40,348.08
2,71,340.46,1,5,86,349.19
2,72,340.48999999999995,1,3,45,346.06
2,73,348.94,1,4,73,357.07
2,74,355.07,1,4,61,362.1
2,75,361.59999999999997,1,4,70,369.73
2,76,368.97999999999996,1,0,0,374.55
2,77,369.35999999999996,1,4,63,377.22
2,78,371.58,1,3,55,379.11
2,79,372.2,1,1,18,380.06
2,80,382.14,1,3,46,388.07
2,81,387.02,1,1,21,394.17
2,82,389.03,1,2,31,396.16
2,83,389.35999999999996,1,1,27,400.8
2,84,391.21999999999997,1,4,71,399.35
2,85,393.19,2,2,34,410.22
2,86,399.72999999999996,1,4,62,406.92
2,87,404.79999999999995,1,1,28,412.93
2,88,415.71,1,4,68,423.57
2,89,418.90999999999997,3,5,88,440.9
3,0,0.0,1,3,45,5.57
3,1,15.049999999999999,1,1,22,22.24
3,2,21.63,1,0,3,28.89
3,3,26.2,1,3,47,32.79
3,4,27.04,1,3,46,37.82
3,5,27.889999999999997,1,2,33,36.35
3,6,28.189999999999998,1,1,20,35.34
3,7,38.25,1,0,1,44.18
3,8,42.839999999999996,1,1,24,51.37
3,9,49.0,1,2,39,58.13
3,10,49.1,1,5,79,58.23
3,11,66.62,1,5,78,75.08
3,12,75.55000000000001,1,5,89,84.68
3,13,76.75,1,4,67,83.94
3,14,77.75,1,0,0,83.32
3,15,78.76,1,4,72,90.57
3,16,80.58000000000001,1,4,66,96.22
3,17,84.30000000000001,1,4,70,102.85
3,18,87.12,1,0,7,93.71
3,19,88.84,1,1,25,96.97
3,20,93.58000000000001,1,5,82,101.37
3,21,94.33000000000001,1,5,75,106.04
3,22,96.06,1,2,38,104.52
3,23,98.34,1,4,60,107.52
3,24,101.38000000000001,1,1,16,107.91
3,25,109.07000000000001,1,2,37,116.86
3,26,110.18,1,1,29,118.71
3,27,113.79,1,3,55,121.32
3,28,118.28,1,1,26,126.41
3,29,118.52000000000001,2,4,73,133.28
3,30,123.2,1,2,32,130.99
3,31,124.13000000000001,2,2,43,144.25
3,32,124.47,2,3,57,138.63
3,33,139.34,1,5,80,147.09
3,34,156.19,1,4,63,164.05
3,35,164.45000000000002,1,0,5,171.0
3,36,166.27,1,2,30,173.04
3,37,166.78,1,3,48,174.04
3,38,172.55,1,0,10,180.08
3,39,175.45000000000002,1,4,61,181.98
3,40,176.1,1,5,81,183.85
3,41,179.51000000000002,1,1,21,186.66
3,42,179.69,1,2,40,188.42
3,43,191.69,1,0,14,199.62
3,44,193.19,1,5,88,201.92
3,45,198.62,1,2,36,206.37
3,46,200.49,1,0,12,208.02
3,47,204.16,2,2,35,217.67
3,48,208.11,1,0,11,215.64
3,49,209.14000000000001,1,1,23,217.0
3,50,226.6,1,1,15,232.77
3,51,234.06,1,1,17,241.25
3,52,248.09,1,4,69,256.62
3,53,259.34999999999997,1,3,53,266.61
3,54,263.9,1,5,84,273.03
3,55,276.65,1,2,44,285.78
3,56,277.10999999999996,1,1,18,284.97
3,57,278.2,1,5,85,286.93
3,58,278.44,1,5,77,292.62
3,59,280.4,1,2,31,290.81
3,60,282.85999999999996,1,4,74,291.39
3,61,284.45,1,3,56,291.98
3,62,293.27,1,3,54,301.2
3,63,295.47999999999996,1,2,42,304.21
3,64,297.12,1,4,62,304.31
3,65,301.03999999999996,1,3,59,308.97
3,66,301.79999999999995,1,4,65,309.96
3,67,309.9,1,5,76,317.03
3,68,310.28999999999996,1,3,52,316.88
3,69,331.96,1,4,71,340.09
3,70,339.34999999999997,1,5,87,348.08
3,71,340.46,1,4,64,348.99
3,72,340.48999999999995,1,1,28,348.62
3,73,348.94,1,0,6,355.49
3,74,355.07,1,0,8,362.33
3,75,361.59999999999997,1,3,51,368.15
3,76,368.97999999999996,1,5,86,377.71
3,77,369.35999999999996,1,5,83,384.07
3,78,371.58,1,3,49,379.51
3,79,372.2,1,1,27,380.33
3,80,382.14,1,0,2,388.73
3,81,387.02,1,2,34,396.15
3,82,389.03,1,0,4,396.96
3,83,389.35999999999996,1,3,58,396.89
3,84,391.21999999999997,1,3,50,402.54
3,85,393.19,2,1,19,408.75
3,86,399.72999999999996,1,0,13,407.26
3,87,404.79999999999995,1,4,68,412.66
3,88,415.71,1,2,41,424.44
3,89,418.90999999999997,3,0,9,440.9
4,0,0.0,1,4,63,7.86
4,1,15.049999999999999,1,4,61,21.58
4,2,21.63,1,1,22,28.82
4,3,26.2,1,5,87,34.93
4,4,27.04,1,3,52,33.63
4,5,27.889999999999997,1,4,66,35.04
4,6,28.189999999999998,1,4,67,40.73
4,7,38.25,1,1,17,45.44
4,8,42.839999999999996,1,2,36,50.59
4,9,49.0,1,2,40,57.73
4,10,49.1,1,5,83,57.56
4,11,66.62,1,3,51,73.17
4,12,75.55000000000001,1,3,59,83.48
4,13,76.75,1,3,50,89.13
4,14,77.75,1,5,89,86.88
4,15,78.76,1,4,68,86.62
4,16,80.58000000000001,1,1,28,88.71
4,17,84.30000000000001,1,2,32,92.09
4,18,87.12,1,0,3,94.38
4,19,88.84,1,4,65,95.99
4,20,93.58000000000001,1,0,12,101.11
4,21,94.33000000000001,1,5,75,101.1
4,22,96.06,1,1,23,103.92
4,23,98.34,1,1,24,110.95
4,24,101.38000000000001,1,0,4,109.31
4,25,109.07000000000001,1,2,30,115.84
4,26,110.18,1,0,2,116.77
4,27,113.79,1,4,60,119.96
4,28,118.28,1,5,85,127.01
4,29,118.52000000000001,2,5,81,138.31
4,30,123.2,1,0,6,129.75
4,31,124.13000000000001,2,2,44,140.29
4,32,124.47,2,1,25,139.23
4,33,139.34,1,1,18,147.2
4,34,156.19,1,1,16,162.72
4,35,164.45000000000002,1,2,35,172.2
4,36,166.27,1,2,42,178.83
4,37,166.78,1,3,48,174.04
4,38,172.55,1,3,49,181.07
4,39,175.45000000000002,1,4,62,182.64
4,40,176.1,1,3,56,187.7
4,41,179.51000000000002,1,2,38,187.97
4,42,179.69,1,4,70,189.27
4,43,191.69,1,3,47,198.28
4,44,193.19,1,5,77,200.98
4,45,198.62,1,0,14,206.55
4,46,200.49,1,3,58,208.02
4,47,204.16,2,1,19,219.72
4,48,208.11,1,1,27,226.35
4,49,209.14000000000001,1,2,31,216.27
4,50,226.6,1,5,79,235.73
4,51,234.06,1,5,84,243.19
4,52,248.09,1,1,20,255.24
4,53,259.34999999999997,1,4,64,267.88
4,54,263.9,1,4,69,274.91
4,55,276.65,1,0,5,283.2
4,56,277.10999999999996,1,5,76,284.24
4,57,278.2,1,4,74,286.73
4,58,278.44,1,1,29,286.97
4,59,280.4,1,3,57,287.93
4,60,282.85999999999996,1,4,72,293.36
4,61,284.45,1,2,43,293.18
4,62,293.27,1,5,80,301.02
4,63,295.47999999999996,1,3,53,302.74
4,64,297.12,1,2,34,306.25
4,65,301.03999999999996,1,0,11,308.57
4,66,301.79999999999995,1,5,88,310.53
4,67,309.9,1,1,15,316.07
4,68,310.28999999999996,1,5,82,318.08
4,69,331.96,1,4,73,340.09
4,70,339.34999999999997,1,0,0,344.92
4,71,340.46,1,1,26,348.59
4,72,340.48999999999995,1,3,45,346.06
4,73,348.94,1,5,78,357.4
4,74,355.07,1,0,9,363.0
4,75,361.59999999999997,1,4,71,369.73
4,76,368.97999999999996,1,2,41,377.71
4,77,369.35999999999996,1,2,33,384.07
4,78,371.58,1,2,37,389.76
4,79,372.2,1,3,46,378.13
4,80,382.14,1,1,21,389.29
4,81,387.02,1,0,10,394.55
4,82,389.03,1,0,7,400.24
4,83,389.35999999999996,1,3,54,397.29
4,84,391.21999999999997,1,0,1,405.27
4,85,393.19,2,3,55,410.55
4,86,399.72999999999996,1,0,8,411.63
4,87,404.79999999999995,1,2,39,413.93
4,88,415.71,1,0,13,423.24
